title,url,imdbRating,imdbVotes,metascore,directors,thespians
296. L'alegria que passa,https://www.imdb.com/es-es/title/tt31899209/,,,,"[{'name': 'Mar Orfila', 'url': 'https://www.imdb.com/name/nm1301484/'}]","[{'name': 'Mariona Castillo', 'url': 'https://www.imdb.com/name/nm1254922/'}, {'name': 'Jordi Coll', 'url': 'https://www.imdb.com/name/nm4078948/'}, {'name': 'Júlia Genís', 'url': 'https://www.imdb.com/name/nm15362243/'}, {'name': 'Eloi Gómez', 'url': 'https://www.imdb.com/name/nm4141817/'}, {'name': 'Àngels Gonyalons', 'url': 'https://www.imdb.com/name/nm0327410/'}, {'name': 'Pol Guimerà', 'url': 'https://www.imdb.com/name/nm15986026/'}, {'name': 'Bassem Nanouh', 'url': 'https://www.imdb.com/name/nm15986027/'}, {'name': 'Pau Oliver', 'url': 'https://www.imdb.com/name/nm9817149/'}, {'name': 'David Pérez-Bayona', 'url': 'https://www.imdb.com/name/nm15986028/'}]"
297. Belldoor,https://www.imdb.com/es-es/title/tt32840476/,,,,"[{'name': 'Enek-o Zulaika', 'url': 'https://www.imdb.com/name/nm14398062/'}]","[{'name': 'Oier Azkarraga', 'url': 'https://www.imdb.com/name/nm14398208/'}, {'name': 'Ion De Sosa', 'url': 'https://www.imdb.com/name/nm1968783/'}, {'name': 'Dani Fernández', 'url': 'https://www.imdb.com/name/nm16317930/'}, {'name': 'Ana Herrero', 'url': 'https://www.imdb.com/name/nm4754389/'}, {'name': 'Maddi Iztueta', 'url': 'https://www.imdb.com/name/nm16317929/'}, {'name': 'Miguel Noguera', 'url': 'https://www.imdb.com/name/nm3983536/'}, {'name': 'Enek-o Zulaika', 'url': 'https://www.imdb.com/name/nm14398062/'}]"
298. Equipo,https://www.imdb.com/es-es/title/tt30396299/,,,,"[{'name': 'Miguel Carrillo', 'url': 'https://www.imdb.com/name/nm11066796/'}, {'name': 'Ángel Torrego', 'url': 'https://www.imdb.com/name/nm15577550/'}]","[{'name': 'Fede Gallardo', 'url': 'https://www.imdb.com/name/nm12500261/'}, {'name': 'Javier Hernández', 'url': 'https://www.imdb.com/name/nm3719798/'}, {'name': 'Celia Monedero', 'url': 'https://www.imdb.com/name/nm10140373/'}, {'name': 'Quique Niza', 'url': 'https://www.imdb.com/name/nm15512520/'}, {'name': 'Alex Peral', 'url': 'https://www.imdb.com/name/nm14050986/'}, {'name': 'José Rueda', 'url': 'https://www.imdb.com/name/nm15577551/'}, {'name': 'Ignacio Serrano', 'url': 'https://www.imdb.com/name/nm15577552/'}]"
299. Sumario 3/94,https://www.imdb.com/es-es/title/tt32014193/,,,,"[{'name': 'Abel García Roure', 'url': 'https://www.imdb.com/name/nm1071819/'}]","[{'name': 'Paula Miralles', 'url': 'https://www.imdb.com/name/nm1927366/'}, {'name': 'Vicente Arlandis Recuerda', 'url': 'https://www.imdb.com/name/nm16004053/'}, {'name': 'Vicente Arlandis Ruiz', 'url': 'https://www.imdb.com/name/nm16004052/'}]"
300. Tenía que ser de aquí: Fernando Esteso,https://www.imdb.com/es-es/title/tt33996397/,,,,"[{'name': 'Federico Contín', 'url': 'https://www.imdb.com/name/nm1438373/'}]","[{'name': 'Fernando Esteso', 'url': 'https://www.imdb.com/name/nm0261681/'}, {'name': 'Itziar Miranda', 'url': 'https://www.imdb.com/name/nm0592110/'}, {'name': 'Santiago Segura', 'url': 'https://www.imdb.com/name/nm0782213/'}]"
"301. José Lifante, mi aventura en el cine",https://www.imdb.com/es-es/title/tt33566972/,,,,"[{'name': 'David García Sariñena', 'url': 'https://www.imdb.com/name/nm7797700/'}]","[{'name': 'José Lifante', 'url': 'https://www.imdb.com/name/nm0509811/'}, {'name': 'Eduardo Aldán', 'url': 'https://www.imdb.com/name/nm1426471/'}, {'name': 'Jaime Chávarri', 'url': 'https://www.imdb.com/name/nm0161621/'}, {'name': 'Anna Frigola', 'url': 'https://www.imdb.com/name/nm0295716/'}, {'name': 'David Giraldo', 'url': 'https://www.imdb.com/name/nm13415171/'}, {'name': 'Víctor Matellano', 'url': 'https://www.imdb.com/name/nm3673803/'}, {'name': 'David Rocha', 'url': 'https://www.imdb.com/name/nm0082986/'}, {'name': 'Ángel Sala', 'url': 'https://www.imdb.com/name/nm1551692/'}, {'name': 'Marián Salgado', 'url': 'https://www.imdb.com/name/nm0758187/'}, {'name': 'Carme Sansa', 'url': 'https://www.imdb.com/name/nm0763021/'}]"
302. Parts Gael,https://www.imdb.com/es-es/title/tt33041374/,,,,"[{'name': 'Àlex Monner', 'url': 'https://www.imdb.com/name/nm3856284/'}]",[]
303. Balas perdidas,https://www.imdb.com/es-es/title/tt32210160/,,,,"[{'name': 'Esteban Calderín', 'url': 'https://www.imdb.com/name/nm6939472/'}]","[{'name': 'Dani Black', 'url': 'https://www.imdb.com/name/nm16074932/'}, {'name': 'Kevin Cruz', 'url': 'https://www.imdb.com/name/nm12818661/'}, {'name': 'John Dickson', 'url': 'https://www.imdb.com/name/nm16074934/'}, {'name': 'Saida Fuentes', 'url': 'https://www.imdb.com/name/nm4716757/'}, {'name': 'Gustavo Mendoza', 'url': 'https://www.imdb.com/name/nm4791393/'}, {'name': 'Laura Perdomo', 'url': 'https://www.imdb.com/name/nm4922183/'}, {'name': 'Ragüel Santa Ana', 'url': 'https://www.imdb.com/name/nm9172577/'}, {'name': 'David Santana', 'url': 'https://www.imdb.com/name/nm6866989/'}, {'name': 'Nieves Valcárcel', 'url': 'https://www.imdb.com/name/nm12830327/'}, {'name': 'Iván Álamo', 'url': 'https://www.imdb.com/name/nm9168557/'}]"
304. Mi última Gran Montaña,https://www.imdb.com/es-es/title/tt30236174/,,,,"[{'name': 'Bego D.Berenguer', 'url': 'https://www.imdb.com/name/nm15539295/'}]","[{'name': 'Rosa Fernández', 'url': 'https://www.imdb.com/name/nm15539296/'}]"
305. Hoy es todavía,https://www.imdb.com/es-es/title/tt32098106/,,,,"[{'name': 'Carmen Jiménez', 'url': 'https://www.imdb.com/name/nm16030909/'}]","[{'name': 'Laura Sáez', 'url': 'https://www.imdb.com/name/nm12981971/'}, {'name': 'Patricia Coronas', 'url': 'https://www.imdb.com/name/nm16031335/'}, {'name': 'Teresa del Olmo', 'url': 'https://www.imdb.com/name/nm0215694/'}, {'name': 'Peio Etxarri', 'url': 'https://www.imdb.com/name/nm13076785/'}, {'name': 'Lucas Eza', 'url': 'https://www.imdb.com/name/nm13159930/'}, {'name': 'Mónica Garbayo', 'url': 'https://www.imdb.com/name/nm16031318/'}, {'name': 'Manuel Izal', 'url': 'https://www.imdb.com/name/nm5224431/'}, {'name': 'Olga Segura', 'url': 'https://www.imdb.com/name/nm13076786/'}, {'name': 'Esperanza Sesma', 'url': 'https://www.imdb.com/name/nm16031332/'}, {'name': 'Eliana Tautiva', 'url': 'https://www.imdb.com/name/nm16031316/'}]"
