decade,year,result,director,movie,category,rating,movie url,director url
Década de 2020,2022,Ganador,Jane Campion,El poder del perro,direccion,"6,8",https://www.imdb.com/title/tt10293406/,https://www.imdb.com/es-es/name/nm0001005/
Década de 2020,2022,Ganador,Jane Campion,El poder del perro,produccion,"6,8",https://www.imdb.com/title/tt10293406/,https://www.imdb.com/es-es/name/nm0001005/
Década de 2020,2022,Nominee,Kenneth Branagh,Belfast,produccion,"7,2",https://www.imdb.com/title/tt12789558/,https://www.imdb.com/es-es/name/nm0000110/
Década de 2020,2022,Nominee,Kenneth Branagh,Belfast,direccion,"7,2",https://www.imdb.com/title/tt12789558/,https://www.imdb.com/es-es/name/nm0000110/
Década de 2020,2022,Nominee,Steven Spielberg,West Side Story,direccion,"7,1",https://www.imdb.com/title/tt3581652/,https://www.imdb.com/es-es/name/nm0000229/
Década de 2020,2022,Nominee,Paul Thomas Anderson,Licorice Pizza,direccion,"7,1",https://www.imdb.com/title/tt11271038/,https://www.imdb.com/es-es/name/nm0000759/
Década de 2020,2022,Nominee,Paul Thomas Anderson,Licorice Pizza,guion,"7,1",https://www.imdb.com/title/tt11271038/,https://www.imdb.com/es-es/name/nm0000759/
Década de 2020,2022,Nominee,Paul Thomas Anderson,Licorice Pizza,produccion,"7,1",https://www.imdb.com/title/tt11271038/,https://www.imdb.com/es-es/name/nm0000759/
Década de 2020,2022,Nominee,Ryûsuke Hamaguchi,Drive My Car,direccion,"7,5",https://www.imdb.com/title/tt14039582/,https://www.imdb.com/es-es/name/nm3152327/
Década de 2020,2022,Nominee,Ryûsuke Hamaguchi,Drive My Car,guion,"7,5",https://www.imdb.com/title/tt14039582/,https://www.imdb.com/es-es/name/nm3152327/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,direccion,"7,3",https://www.imdb.com/title/tt9770150/,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,produccion,"7,3",https://www.imdb.com/title/tt9770150/,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Ganador,Chloé Zhao,Nomadland,guion,"7,3",https://www.imdb.com/title/tt9770150/,https://www.imdb.com/es-es/name/nm2125482/
Década de 2020,2021,Nominee,David Fincher,Mank,direccion,"6,8",https://www.imdb.com/title/tt10618286/,https://www.imdb.com/es-es/name/nm0000399/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,guion,"7,5",https://www.imdb.com/title/tt9620292/,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,direccion,"7,5",https://www.imdb.com/title/tt9620292/,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2021,Nominee,Emerald Fennell,Una joven prometedora,produccion,"7,5",https://www.imdb.com/title/tt9620292/,https://www.imdb.com/es-es/name/nm2193504/
Década de 2020,2021,Nominee,Lee Isaac Chung,Minari. Historia de mi familia,direccion,"7,4",https://www.imdb.com/title/tt10633456/,https://www.imdb.com/es-es/name/nm1818032/
Década de 2020,2021,Nominee,Thomas Vinterberg,Otra ronda,direccion,"7,7",https://www.imdb.com/title/tt10288566/,https://www.imdb.com/es-es/name/nm0899121/
Década de 2020,2021,Nominee,Thomas Vinterberg,Otra ronda,guion,"7,7",https://www.imdb.com/title/tt10288566/,https://www.imdb.com/es-es/name/nm0899121/
Década de 2020,2020,Ganador,Bong Joon Ho,Parásitos,guion,"8,5",https://www.imdb.com/title/tt6751668/,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Ganador,Bong Joon Ho,Parásitos,produccion,"8,5",https://www.imdb.com/title/tt6751668/,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Ganador,Bong Joon Ho,Parásitos,direccion,"8,5",https://www.imdb.com/title/tt6751668/,https://www.imdb.com/es-es/name/nm0094435/
Década de 2020,2020,Nominee,Sam Mendes,1917,produccion,"8,2",https://www.imdb.com/title/tt8579674/,https://www.imdb.com/es-es/name/nm0005222/
Década de 2020,2020,Nominee,Sam Mendes,1917,direccion,"8,2",https://www.imdb.com/title/tt8579674/,https://www.imdb.com/es-es/name/nm0005222/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,guion,"7,6",https://www.imdb.com/title/tt7131622/,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,produccion,"7,6",https://www.imdb.com/title/tt7131622/,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Quentin Tarantino,Érase una vez en... Hollywood,reparto,"7,6",https://www.imdb.com/title/tt7131622/,https://www.imdb.com/es-es/name/nm0000233/
Década de 2020,2020,Nominee,Martin Scorsese,El irlandés,direccion,"7,8",https://www.imdb.com/title/tt1302006/,https://www.imdb.com/es-es/name/nm0000217/
Década de 2020,2020,Nominee,Todd Phillips,Joker,produccion,"8,3",https://www.imdb.com/title/tt7286456/,https://www.imdb.com/es-es/name/nm0680846/
Década de 2020,2020,Nominee,Todd Phillips,Joker,direccion,"8,3",https://www.imdb.com/title/tt7286456/,https://www.imdb.com/es-es/name/nm0680846/
Década de 2020,2020,Nominee,Todd Phillips,Joker,guion,"8,3",https://www.imdb.com/title/tt7286456/,https://www.imdb.com/es-es/name/nm0680846/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,guion,"7,6",https://www.imdb.com/title/tt6155172/,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,produccion,"7,6",https://www.imdb.com/title/tt6155172/,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Ganador,Alfonso Cuarón,Roma,direccion,"7,6",https://www.imdb.com/title/tt6155172/,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2019,Nominee,Spike Lee,Infiltrado en el KKKlan,direccion,"7,5",https://www.imdb.com/title/tt7349662/,https://www.imdb.com/es-es/name/nm0000490/
Década de 2010,2019,Nominee,Spike Lee,Infiltrado en el KKKlan,guion,"7,5",https://www.imdb.com/title/tt7349662/,https://www.imdb.com/es-es/name/nm0000490/
Década de 2010,2019,Nominee,Yorgos Lanthimos,La favorita,direccion,"7,5",https://www.imdb.com/title/tt5083738/,https://www.imdb.com/es-es/name/nm0487166/
Década de 2010,2019,Nominee,Yorgos Lanthimos,La favorita,produccion,"7,5",https://www.imdb.com/title/tt5083738/,https://www.imdb.com/es-es/name/nm0487166/
Década de 2010,2019,Nominee,Adam McKay,El vicio del poder,guion,"7,2",https://www.imdb.com/title/tt6266538/,https://www.imdb.com/es-es/name/nm0570912/
Década de 2010,2019,Nominee,Adam McKay,El vicio del poder,direccion,"7,2",https://www.imdb.com/title/tt6266538/,https://www.imdb.com/es-es/name/nm0570912/
