title,url,country,imdbRating,imdbVotes,metascore,budget,domesticGross,worldwideGross,awards,directors,thespians
11. The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/,US,6.7, (158K),54,,,,[],"[{'name': 'Francis Lawrence', 'url': 'https://www.imdb.com/name/nm1349376/'}]","[{'name': 'Dexter Sol Ansell', 'url': 'https://www.imdb.com/name/nm11274700/'}, {'name': 'Rosa Gotzler', 'url': 'https://www.imdb.com/name/nm15272520/'}, {'name': 'Clemens Schick', 'url': 'https://www.imdb.com/name/nm0771332/'}, {'name': 'Fionnula Flanagan', 'url': 'https://www.imdb.com/name/nm0001217/'}, {'name': 'Tom Blyth', 'url': 'https://www.imdb.com/name/nm3880241/'}]"
12. Oppenheimer,https://www.imdb.com/title/tt15398776/,US,8.3, (879K),90,,,,"['Best Achievement in Music Written for Motion Pictures (Original Score)', 'Best Motion Picture of the Year', 'Best Achievement in Directing', 'Best Performance by an Actor in a Leading Role', 'Best Performance by an Actor in a Supporting Role', 'Best Achievement in Cinematography', 'Best Achievement in Film Editing']","[{'name': 'Christopher Nolan', 'url': 'https://www.imdb.com/name/nm0634240/'}]","[{'name': 'Cillian Murphy', 'url': 'https://www.imdb.com/name/nm0614165/'}, {'name': 'Emily Blunt', 'url': 'https://www.imdb.com/name/nm1289434/'}, {'name': 'Robert Downey Jr.', 'url': 'https://www.imdb.com/name/nm0000375/'}, {'name': 'Alden Ehrenreich', 'url': 'https://www.imdb.com/name/nm2403277/'}, {'name': 'Scott Grimes', 'url': 'https://www.imdb.com/name/nm0342241/'}]"
13. A Real Pain,https://www.imdb.com/title/tt21823606/,US,7.1, (86K),85,,"$8,344,978","$24,856,027",['Best Performance by an Actor in a Supporting Role'],"[{'name': 'Jesse Eisenberg', 'url': 'https://www.imdb.com/name/nm0251986/'}]","[{'name': 'Kieran Culkin', 'url': 'https://www.imdb.com/name/nm0001085/'}, {'name': 'Jesse Eisenberg', 'url': 'https://www.imdb.com/name/nm0251986/'}, {'name': 'Olha Bosova', 'url': 'https://www.imdb.com/name/nm6159473/'}, {'name': 'Banner Eisenberg', 'url': 'https://www.imdb.com/name/nm15725065/'}, {'name': 'Jakub Gasowski', 'url': 'https://www.imdb.com/name/nm9160483/'}]"
14. Sonic the Hedgehog 3,https://www.imdb.com/title/tt18259086/,US,6.9, (57K),56,,,,[],"[{'name': 'Jeff Fowler', 'url': 'https://www.imdb.com/name/nm1733778/'}]","[{'name': 'Jim Carrey', 'url': 'https://www.imdb.com/name/nm0000120/'}, {'name': 'Ben Schwartz', 'url': 'https://www.imdb.com/name/nm2355635/'}, {'name': 'Keanu Reeves', 'url': 'https://www.imdb.com/name/nm0000206/'}, {'name': 'Idris Elba', 'url': 'https://www.imdb.com/name/nm0252961/'}, {'name': ""Colleen O'Shaughnessey"", 'url': 'https://www.imdb.com/name/nm0642601/'}]"
15. Y2K,https://www.imdb.com/title/tt27218960/,US,4.8, (13K),49,,"$3,763,863","$3,798,682",[],"[{'name': 'Kyle Mooney', 'url': 'https://www.imdb.com/name/nm3324982/'}]","[{'name': 'Jaeden Martell', 'url': 'https://www.imdb.com/name/nm5897057/'}, {'name': 'Rachel Zegler', 'url': 'https://www.imdb.com/name/nm10399505/'}, {'name': 'Julian Dennison', 'url': 'https://www.imdb.com/name/nm5421877/'}, {'name': 'Daniel Zolghadri', 'url': 'https://www.imdb.com/name/nm6002170/'}, {'name': 'Lachlan Watson', 'url': 'https://www.imdb.com/name/nm6098879/'}]"
16. Trap,https://www.imdb.com/title/tt26753003/,US,5.8, (136K),52,,"$42,777,281","$83,677,281",[],"[{'name': 'M. Night Shyamalan', 'url': 'https://www.imdb.com/name/nm0796117/'}]","[{'name': 'Josh Hartnett', 'url': 'https://www.imdb.com/name/nm0001326/'}, {'name': 'Ariel Donoghue', 'url': 'https://www.imdb.com/name/nm6319571/'}, {'name': 'Saleka Shyamalan', 'url': 'https://www.imdb.com/name/nm1630669/'}, {'name': 'Alison Pill', 'url': 'https://www.imdb.com/name/nm0683467/'}, {'name': 'Hayley Mills', 'url': 'https://www.imdb.com/name/nm0001539/'}]"
17. Rust,https://www.imdb.com/title/tt11001074/,US,,,,,,,[],"[{'name': 'Joel Souza', 'url': 'https://www.imdb.com/name/nm3522996/'}]","[{'name': 'Travis Fimmel', 'url': 'https://www.imdb.com/name/nm1379938/'}, {'name': 'Alec Baldwin', 'url': 'https://www.imdb.com/name/nm0000285/'}, {'name': 'Frances Fisher', 'url': 'https://www.imdb.com/name/nm0004920/'}, {'name': 'Jake Busey', 'url': 'https://www.imdb.com/name/nm0000998/'}, {'name': 'Josh Hopkins', 'url': 'https://www.imdb.com/name/nm0005020/'}]"
18. Eden,https://www.imdb.com/title/tt23149780/,US,6.5, (1.1K),60,,,,[],"[{'name': 'Ron Howard', 'url': 'https://www.imdb.com/name/nm0000165/'}]","[{'name': 'Jude Law', 'url': 'https://www.imdb.com/name/nm0000179/'}, {'name': 'Ana de Armas', 'url': 'https://www.imdb.com/name/nm1869101/'}, {'name': 'Vanessa Kirby', 'url': 'https://www.imdb.com/name/nm3948952/'}, {'name': 'Daniel Brühl', 'url': 'https://www.imdb.com/name/nm0117709/'}, {'name': 'Sydney Sweeney', 'url': 'https://www.imdb.com/name/nm2858875/'}]"
19. The Little Mermaid,https://www.imdb.com/title/tt5971474/,US,7.2, (171K),59,,,,[],"[{'name': 'Rob Marshall', 'url': 'https://www.imdb.com/name/nm0551128/'}]","[{'name': 'Halle Bailey', 'url': 'https://www.imdb.com/name/nm1782991/'}, {'name': 'Jonah Hauer-King', 'url': 'https://www.imdb.com/name/nm5999355/'}, {'name': 'Melissa McCarthy', 'url': 'https://www.imdb.com/name/nm0565250/'}, {'name': 'Javier Bardem', 'url': 'https://www.imdb.com/name/nm0000849/'}, {'name': 'Noma Dumezweni', 'url': 'https://www.imdb.com/name/nm1282920/'}]"
20. Venom: The Last Dance,https://www.imdb.com/title/tt16366836/,US,6.0, (115K),41,"$110,000,000","$139,755,882","$474,492,936",[],"[{'name': 'Kelly Marcel', 'url': 'https://www.imdb.com/name/nm0545150/'}]","[{'name': 'Tom Hardy', 'url': 'https://www.imdb.com/name/nm0362766/'}, {'name': 'Chiwetel Ejiofor', 'url': 'https://www.imdb.com/name/nm0252230/'}, {'name': 'Juno Temple', 'url': 'https://www.imdb.com/name/nm1017334/'}, {'name': 'Rhys Ifans', 'url': 'https://www.imdb.com/name/nm0406975/'}, {'name': 'Stephen Graham', 'url': 'https://www.imdb.com/name/nm0334318/'}]"
