title,url,country,imdbRating,imdbVotes,metascore,budget,domesticGross,worldwideGross,awards,directors,thespians
162. Arcadian,https://www.imdb.com/title/tt22939186/,US,5.5, (23K),57,,"$828,919","$1,134,275",[],"[{'name': 'Benjamin Brewer', 'url': 'https://www.imdb.com/name/nm3588247/'}]","[{'name': 'Nicolas Cage', 'url': 'https://www.imdb.com/name/nm0000115/'}, {'name': 'Jaeden Martell', 'url': 'https://www.imdb.com/name/nm5897057/'}, {'name': 'Maxwell Jenkins', 'url': 'https://www.imdb.com/name/nm3069420/'}, {'name': 'Sadie Soverall', 'url': 'https://www.imdb.com/name/nm10082934/'}, {'name': 'Samantha Coughlan', 'url': 'https://www.imdb.com/name/nm1570014/'}]"
163. Gunner,https://www.imdb.com/title/tt12598606/,US,3.2, (2.6K),,,n/a,"$47,581",[],"[{'name': 'Dimitri Logothetis', 'url': 'https://www.imdb.com/name/nm0517768/'}]","[{'name': 'Luke Hemsworth', 'url': 'https://www.imdb.com/name/nm1292661/'}, {'name': 'Morgan Freeman', 'url': 'https://www.imdb.com/name/nm0000151/'}, {'name': 'Mykel Shannon Jenkins', 'url': 'https://www.imdb.com/name/nm0420926/'}, {'name': 'Yulia Klass', 'url': 'https://www.imdb.com/name/nm3616007/'}, {'name': 'Connor DeWolfe', 'url': 'https://www.imdb.com/name/nm13517300/'}]"
164. Lift,https://www.imdb.com/title/tt14371878/,US,5.5, (49K),40,,,,[],"[{'name': 'F. Gary Gray', 'url': 'https://www.imdb.com/name/nm0336620/'}]","[{'name': 'Kevin Hart', 'url': 'https://www.imdb.com/name/nm0366389/'}, {'name': 'Gugu Mbatha-Raw', 'url': 'https://www.imdb.com/name/nm1813221/'}, {'name': 'Sam Worthington', 'url': 'https://www.imdb.com/name/nm0941777/'}, {'name': ""Vincent D'Onofrio"", 'url': 'https://www.imdb.com/name/nm0000352/'}, {'name': 'Úrsula Corberó', 'url': 'https://www.imdb.com/name/nm2216549/'}]"
"165. Are You There God? It's Me, Margaret.",https://www.imdb.com/title/tt9185206/,US,7.3, (33K),84,,,,[],"[{'name': 'Kelly Fremon Craig', 'url': 'https://www.imdb.com/name/nm2609807/'}]","[{'name': 'Abby Ryder Fortson', 'url': 'https://www.imdb.com/name/nm5338858/'}, {'name': 'Rachel McAdams', 'url': 'https://www.imdb.com/name/nm1046097/'}, {'name': 'Kathy Bates', 'url': 'https://www.imdb.com/name/nm0000870/'}, {'name': 'Benny Safdie', 'url': 'https://www.imdb.com/name/nm1509478/'}, {'name': 'Elle Graham', 'url': 'https://www.imdb.com/name/nm6285328/'}]"
166. Upgraded,https://www.imdb.com/title/tt21830902/,US,6.1, (29K),59,,n/a,,[],"[{'name': 'Carlson Young', 'url': 'https://www.imdb.com/name/nm2584304/'}]","[{'name': 'Camila Mendes', 'url': 'https://www.imdb.com/name/nm6161516/'}, {'name': 'Archie Renaux', 'url': 'https://www.imdb.com/name/nm8850556/'}, {'name': 'Marisa Tomei', 'url': 'https://www.imdb.com/name/nm0000673/'}, {'name': 'Lena Olin', 'url': 'https://www.imdb.com/name/nm0000565/'}, {'name': 'Anthony Head', 'url': 'https://www.imdb.com/name/nm0372117/'}]"
167. Salem's Lot,https://www.imdb.com/title/tt10245072/,US,5.6, (33K),47,,n/a,"$849,294",[],"[{'name': 'Gary Dauberman', 'url': 'https://www.imdb.com/name/nm2477891/'}]","[{'name': 'Lewis Pullman', 'url': 'https://www.imdb.com/name/nm5730649/'}, {'name': 'Makenzie Leigh', 'url': 'https://www.imdb.com/name/nm4689170/'}, {'name': 'Jordan Preston Carter', 'url': 'https://www.imdb.com/name/nm6967999/'}, {'name': 'Alfre Woodard', 'url': 'https://www.imdb.com/name/nm0005569/'}, {'name': 'Bill Camp', 'url': 'https://www.imdb.com/name/nm0131966/'}]"
168. Werewolves,https://www.imdb.com/title/tt15041836/,US,4.4, (6.4K),46,,"$1,903,905","$2,103,485",[],"[{'name': 'Steven C. Miller', 'url': 'https://www.imdb.com/name/nm1921345/'}]","[{'name': 'Frank Grillo', 'url': 'https://www.imdb.com/name/nm0342029/'}, {'name': 'Katrina Law', 'url': 'https://www.imdb.com/name/nm0492345/'}, {'name': 'Ilfenesh Hadera', 'url': 'https://www.imdb.com/name/nm3947644/'}, {'name': 'James Michael Cummings', 'url': 'https://www.imdb.com/name/nm0191907/'}, {'name': 'Lou Diamond Phillips', 'url': 'https://www.imdb.com/name/nm0001617/'}]"
169. The Killer,https://www.imdb.com/title/tt1121948/,US,5.7, (13K),60,,n/a,"$626,164",[],"[{'name': 'John Wo', 'url': 'https://www.imdb.com/name/nm15539512/'}, {'name': 'John Woo', 'url': 'https://www.imdb.com/name/nm0000247/'}]","[{'name': 'Nathalie Emmanuel', 'url': 'https://www.imdb.com/name/nm2812026/'}, {'name': 'Sam Worthington', 'url': 'https://www.imdb.com/name/nm0941777/'}, {'name': 'Diana Silvers', 'url': 'https://www.imdb.com/name/nm9537602/'}, {'name': 'Saïd Taghmaoui', 'url': 'https://www.imdb.com/name/nm0846548/'}, {'name': 'Angeles Woo', 'url': 'https://www.imdb.com/name/nm1620396/'}]"
170. Aftermath,https://www.imdb.com/title/tt26545708/,US,5.1, (3.8K),,,n/a,,[],"[{'name': 'Patrick Lussier', 'url': 'https://www.imdb.com/name/nm0527261/'}]","[{'name': 'Dylan Sprouse', 'url': 'https://www.imdb.com/name/nm0819851/'}, {'name': 'Mason Gooding', 'url': 'https://www.imdb.com/name/nm2864252/'}, {'name': 'Megan Stott', 'url': 'https://www.imdb.com/name/nm8900741/'}, {'name': 'Dichen Lachman', 'url': 'https://www.imdb.com/name/nm1901842/'}, {'name': 'Derek K. Moore', 'url': 'https://www.imdb.com/name/nm9076070/'}]"
171. Cellar Door,https://www.imdb.com/title/tt11950888/,US,5.3, (3.9K),,,n/a,,[],"[{'name': 'Vaughn Stein', 'url': 'https://www.imdb.com/name/nm2389363/'}]","[{'name': 'Jordana Brewster', 'url': 'https://www.imdb.com/name/nm0108287/'}, {'name': 'Laurence Fishburne', 'url': 'https://www.imdb.com/name/nm0000401/'}, {'name': 'Addison Timlin', 'url': 'https://www.imdb.com/name/nm1789970/'}, {'name': 'Scott Speedman', 'url': 'https://www.imdb.com/name/nm0005454/'}, {'name': 'Chris Conner', 'url': 'https://www.imdb.com/name/nm0175134/'}]"
172. Beverly Hills Cop: Axel F,https://www.imdb.com/title/tt3083016/,US,6.4, (81K),53,"$150,000,000",n/a,,[],"[{'name': 'Mark Molloy', 'url': 'https://www.imdb.com/name/nm8609388/'}]","[{'name': 'Eddie Murphy', 'url': 'https://www.imdb.com/name/nm0000552/'}, {'name': 'Joseph Gordon-Levitt', 'url': 'https://www.imdb.com/name/nm0330687/'}, {'name': 'Taylour Paige', 'url': 'https://www.imdb.com/name/nm3666749/'}, {'name': 'Judge Reinhold', 'url': 'https://www.imdb.com/name/nm0001662/'}, {'name': 'John Ashton', 'url': 'https://www.imdb.com/name/nm0039226/'}]"
173. Champions,https://www.imdb.com/title/tt15339570/,US,6.8, (32K),50,,,,[],"[{'name': 'Bobby Farrelly', 'url': 'https://www.imdb.com/name/nm0125803/'}]","[{'name': 'Woody Harrelson', 'url': 'https://www.imdb.com/name/nm0000437/'}, {'name': 'Kaitlin Olson', 'url': 'https://www.imdb.com/name/nm0647698/'}, {'name': 'Matt Cook', 'url': 'https://www.imdb.com/name/nm3129512/'}, {'name': 'Ernie Hudson', 'url': 'https://www.imdb.com/name/nm0001368/'}, {'name': 'Cheech Marin', 'url': 'https://www.imdb.com/name/nm0001507/'}]"
174. His Three Daughters,https://www.imdb.com/title/tt28491891/,US,7.2, (18K),84,,n/a,,[],"[{'name': 'Azazel Jacobs', 'url': 'https://www.imdb.com/name/nm0414337/'}]","[{'name': 'Carrie Coon', 'url': 'https://www.imdb.com/name/nm4689420/'}, {'name': 'Natasha Lyonne', 'url': 'https://www.imdb.com/name/nm0005169/'}, {'name': 'Elizabeth Olsen', 'url': 'https://www.imdb.com/name/nm0647634/'}, {'name': 'Rudy Galvan', 'url': 'https://www.imdb.com/name/nm2745394/'}, {'name': 'Jose Febus', 'url': 'https://www.imdb.com/name/nm1406523/'}]"
"175. Red, White & Royal Blue",https://www.imdb.com/title/tt10172266/,US,6.9, (57K),62,,,,[],"[{'name': 'Matthew López', 'url': 'https://www.imdb.com/name/nm5870715/'}]","[{'name': 'Jemma Redgrave', 'url': 'https://www.imdb.com/name/nm0714876/'}, {'name': 'Thomas Flynn', 'url': 'https://www.imdb.com/name/nm10572105/'}, {'name': 'Bridget Benstead', 'url': 'https://www.imdb.com/name/nm10264251/'}, {'name': 'Nicholas Galitzine', 'url': 'https://www.imdb.com/name/nm5954280/'}, {'name': 'Ellie Bamber', 'url': 'https://www.imdb.com/name/nm5166444/'}]"
176. Eric LaRue,https://www.imdb.com/title/tt21221514/,US,6.7, (90),61,,,,[],"[{'name': 'Michael Shannon', 'url': 'https://www.imdb.com/name/nm0788335/'}]","[{'name': 'Judy Greer', 'url': 'https://www.imdb.com/name/nm0339460/'}, {'name': 'Paul Sparks', 'url': 'https://www.imdb.com/name/nm0817027/'}, {'name': 'Alexander Skarsgård', 'url': 'https://www.imdb.com/name/nm0002907/'}, {'name': 'Alison Pill', 'url': 'https://www.imdb.com/name/nm0683467/'}, {'name': 'David Pasquesi', 'url': 'https://www.imdb.com/name/nm0664727/'}]"
177. The First Omen,https://www.imdb.com/title/tt5672290/,US,6.5, (64K),65,,"$20,092,802","$53,992,802",[],"[{'name': 'Arkasha Stevenson', 'url': 'https://www.imdb.com/name/nm6674331/'}]","[{'name': 'Nell Tiger Free', 'url': 'https://www.imdb.com/name/nm4836100/'}, {'name': 'Ralph Ineson', 'url': 'https://www.imdb.com/name/nm0408591/'}, {'name': 'Sonia Braga', 'url': 'https://www.imdb.com/name/nm0000968/'}, {'name': 'Tawfeek Barhom', 'url': 'https://www.imdb.com/name/nm5601350/'}, {'name': 'Maria Caballero', 'url': 'https://www.imdb.com/name/nm8954229/'}]"
178. The Instigators,https://www.imdb.com/title/tt24169886/,US,6.2, (37K),48,,n/a,"$11,106",[],"[{'name': 'Doug Liman', 'url': 'https://www.imdb.com/name/nm0510731/'}]","[{'name': 'Matt Damon', 'url': 'https://www.imdb.com/name/nm0000354/'}, {'name': 'Hong Chau', 'url': 'https://www.imdb.com/name/nm2186865/'}, {'name': 'Jack Harlow', 'url': 'https://www.imdb.com/name/nm9859888/'}, {'name': 'Michael Stuhlbarg', 'url': 'https://www.imdb.com/name/nm0836121/'}, {'name': 'Alfred Molina', 'url': 'https://www.imdb.com/name/nm0000547/'}]"
179. Distant,https://www.imdb.com/title/tt9883398/,US,5.7, (3.2K),,,,,[],"[{'name': 'Josh Gordon', 'url': 'https://www.imdb.com/name/nm0330347/'}, {'name': 'Will Speck', 'url': 'https://www.imdb.com/name/nm0817447/'}]","[{'name': 'Anthony Ramos', 'url': 'https://www.imdb.com/name/nm6588867/'}, {'name': 'Naomi Scott', 'url': 'https://www.imdb.com/name/nm4305463/'}, {'name': 'Kristofer Hivju', 'url': 'https://www.imdb.com/name/nm1970465/'}, {'name': 'Zachary Quinto', 'url': 'https://www.imdb.com/name/nm0704270/'}, {'name': 'Izzy Jones', 'url': 'https://www.imdb.com/name/nm12595208/'}]"
180. Wish,https://www.imdb.com/title/tt11304740/,US,5.6, (46K),47,,,,[],"[{'name': 'Chris Buck', 'url': 'https://www.imdb.com/name/nm0118333/'}, {'name': 'Fawn Veerasunthorn', 'url': 'https://www.imdb.com/name/nm3086932/'}]","[{'name': 'Ariana DeBose', 'url': 'https://www.imdb.com/name/nm3663196/'}, {'name': 'Chris Pine', 'url': 'https://www.imdb.com/name/nm1517976/'}, {'name': 'Alan Tudyk', 'url': 'https://www.imdb.com/name/nm0876138/'}, {'name': 'Angelique Cabral', 'url': 'https://www.imdb.com/name/nm2512132/'}, {'name': 'Victor Garber', 'url': 'https://www.imdb.com/name/nm0001255/'}]"
181. The Garfield Movie,https://www.imdb.com/title/tt5779228/,US,5.7, (24K),31,"$60,000,000","$91,956,547","$254,756,872",[],"[{'name': 'Mark Dindal', 'url': 'https://www.imdb.com/name/nm0227540/'}]","[{'name': 'Chris Pratt', 'url': 'https://www.imdb.com/name/nm0695435/'}, {'name': 'Samuel L. Jackson', 'url': 'https://www.imdb.com/name/nm0000168/'}, {'name': 'Hannah Waddingham', 'url': 'https://www.imdb.com/name/nm1821446/'}, {'name': 'Ving Rhames', 'url': 'https://www.imdb.com/name/nm0000609/'}, {'name': 'Nicholas Hoult', 'url': 'https://www.imdb.com/name/nm0396558/'}]"
182. Boy Kills World,https://www.imdb.com/title/tt13923084/,US,6.4, (35K),47,,"$2,626,127","$3,193,227",[],"[{'name': 'Moritz Mohr', 'url': 'https://www.imdb.com/name/nm2079357/'}]","[{'name': 'Bill Skarsgård', 'url': 'https://www.imdb.com/name/nm0803889/'}, {'name': 'Jessica Rothe', 'url': 'https://www.imdb.com/name/nm1557329/'}, {'name': 'Michelle Dockery', 'url': 'https://www.imdb.com/name/nm1890784/'}, {'name': 'Brett Gelman', 'url': 'https://www.imdb.com/name/nm1443368/'}, {'name': 'Isaiah Mustafa', 'url': 'https://www.imdb.com/name/nm2248149/'}]"
183. Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.imdb.com/title/tt8589698/,US,7.2, (73K),74,,,,[],"[{'name': 'Jeff Rowe', 'url': 'https://www.imdb.com/name/nm6676487/'}, {'name': 'Kyler Spears', 'url': 'https://www.imdb.com/name/nm5859016/'}]","[{'name': 'Micah Abbey', 'url': 'https://www.imdb.com/name/nm9368660/'}, {'name': 'Shamon Brown Jr.', 'url': 'https://www.imdb.com/name/nm8366356/'}, {'name': 'Nicolas Cantu', 'url': 'https://www.imdb.com/name/nm7751235/'}, {'name': 'Brady Noon', 'url': 'https://www.imdb.com/name/nm4054776/'}, {'name': 'Ayo Edebiri', 'url': 'https://www.imdb.com/name/nm8731249/'}]"
184. McVeigh,https://www.imdb.com/title/tt32141536/,US,4.5, (483),,,,,[],"[{'name': 'Mike Ott', 'url': 'https://www.imdb.com/name/nm0653056/'}]","[{'name': 'Alfie Allen', 'url': 'https://www.imdb.com/name/nm0654295/'}, {'name': 'Brett Gelman', 'url': 'https://www.imdb.com/name/nm1443368/'}, {'name': 'Ashley Benson', 'url': 'https://www.imdb.com/name/nm1667364/'}, {'name': 'Anthony Carrigan', 'url': 'https://www.imdb.com/name/nm2810593/'}, {'name': 'Tracy Letts', 'url': 'https://www.imdb.com/name/nm0504832/'}]"
185. 65,https://www.imdb.com/title/tt12261776/,US,5.4, (99K),40,,,,[],"[{'name': 'Scott Beck', 'url': 'https://www.imdb.com/name/nm1399714/'}, {'name': 'Bryan Woods', 'url': 'https://www.imdb.com/name/nm1456816/'}]","[{'name': 'Adam Driver', 'url': 'https://www.imdb.com/name/nm3485845/'}, {'name': 'Ariana Greenblatt', 'url': 'https://www.imdb.com/name/nm7567556/'}, {'name': 'Chloe Coleman', 'url': 'https://www.imdb.com/name/nm5668548/'}, {'name': 'Nika King', 'url': 'https://www.imdb.com/name/nm1519739/'}]"
186. Thanksgiving,https://www.imdb.com/title/tt1448754/,US,6.2, (71K),63,,,,[],"[{'name': 'Eli Roth', 'url': 'https://www.imdb.com/name/nm0744834/'}]","[{'name': 'Patrick Dempsey', 'url': 'https://www.imdb.com/name/nm0001131/'}, {'name': 'Ty Olsson', 'url': 'https://www.imdb.com/name/nm0648153/'}, {'name': 'Gina Gershon', 'url': 'https://www.imdb.com/name/nm0000153/'}, {'name': 'Lynne Griffin', 'url': 'https://www.imdb.com/name/nm0341289/'}, {'name': 'Karen Cliche', 'url': 'https://www.imdb.com/name/nm0166566/'}]"
187. Self Reliance,https://www.imdb.com/title/tt26084002/,US,6.0, (18K),59,,n/a,,[],"[{'name': 'Jake Johnson', 'url': 'https://www.imdb.com/name/nm2159926/'}]","[{'name': 'Jake Johnson', 'url': 'https://www.imdb.com/name/nm2159926/'}, {'name': 'Andy Samberg', 'url': 'https://www.imdb.com/name/nm1676221/'}, {'name': 'Bjorn Johnson', 'url': 'https://www.imdb.com/name/nm0424608/'}, {'name': 'John Hans Tester', 'url': 'https://www.imdb.com/name/nm0856471/'}, {'name': 'Mary Holland', 'url': 'https://www.imdb.com/name/nm4364610/'}]"
188. Reptile,https://www.imdb.com/title/tt13274016/,US,6.8, (103K),52,,,,[],"[{'name': 'Grant Singer', 'url': 'https://www.imdb.com/name/nm3026537/'}]","[{'name': 'Benicio Del Toro', 'url': 'https://www.imdb.com/name/nm0001125/'}, {'name': 'Justin Timberlake', 'url': 'https://www.imdb.com/name/nm0005493/'}, {'name': 'Eric Bogosian', 'url': 'https://www.imdb.com/name/nm0091899/'}, {'name': 'Alicia Silverstone', 'url': 'https://www.imdb.com/name/nm0000224/'}, {'name': 'Domenick Lombardozzi', 'url': 'https://www.imdb.com/name/nm0518511/'}]"
189. Incoming,https://www.imdb.com/title/tt21284218/,US,5.8, (14K),38,,n/a,,[],"[{'name': 'Dave Chernin', 'url': 'https://www.imdb.com/name/nm3728034/'}, {'name': 'John Chernin', 'url': 'https://www.imdb.com/name/nm1497310/'}]","[{'name': 'Mason Thames', 'url': 'https://www.imdb.com/name/nm9296746/'}, {'name': 'Ali Gallo', 'url': 'https://www.imdb.com/name/nm6821153/'}, {'name': 'Kaitlin Olson', 'url': 'https://www.imdb.com/name/nm0647698/'}, {'name': 'Isabella Ferreira', 'url': 'https://www.imdb.com/name/nm8534591/'}, {'name': 'Thomas Barbusca', 'url': 'https://www.imdb.com/name/nm4564958/'}]"
190. Dream Scenario,https://www.imdb.com/title/tt21942866/,US,6.8, (84K),74,,,,[],"[{'name': 'Kristoffer Borgli', 'url': 'https://www.imdb.com/name/nm5589501/'}]","[{'name': 'Lily Bird', 'url': 'https://www.imdb.com/name/nm12844103/'}, {'name': 'Nicolas Cage', 'url': 'https://www.imdb.com/name/nm0000115/'}, {'name': 'Julianne Nicholson', 'url': 'https://www.imdb.com/name/nm0629855/'}, {'name': 'Jessica Clement', 'url': 'https://www.imdb.com/name/nm2970078/'}, {'name': 'Star Slade', 'url': 'https://www.imdb.com/name/nm9007701/'}]"
191. Harold and the Purple Crayon,https://www.imdb.com/title/tt1609486/,US,5.7, (8.2K),34,,,,[],"[{'name': 'Carlos Saldanha', 'url': 'https://www.imdb.com/name/nm0757858/'}]","[{'name': 'Zachary Levi', 'url': 'https://www.imdb.com/name/nm1157048/'}, {'name': 'Lil Rel Howery', 'url': 'https://www.imdb.com/name/nm2577076/'}, {'name': 'Zooey Deschanel', 'url': 'https://www.imdb.com/name/nm0221046/'}, {'name': 'Benjamin Bottani', 'url': 'https://www.imdb.com/name/nm12815536/'}, {'name': 'Tanya Reynolds', 'url': 'https://www.imdb.com/name/nm7737332/'}]"
192. Bottoms,https://www.imdb.com/title/tt17527468/,US,6.7, (52K),74,,,,[],"[{'name': 'Emma Seligman', 'url': 'https://www.imdb.com/name/nm7681231/'}]","[{'name': 'Rachel Sennott', 'url': 'https://www.imdb.com/name/nm6976735/'}, {'name': 'Ayo Edebiri', 'url': 'https://www.imdb.com/name/nm8731249/'}, {'name': 'Ruby Cruz', 'url': 'https://www.imdb.com/name/nm9342097/'}, {'name': 'Havana Rose Liu', 'url': 'https://www.imdb.com/name/nm10023988/'}, {'name': 'Kaia Gerber', 'url': 'https://www.imdb.com/name/nm7333021/'}]"
193. Invincible: Atom Eve,https://www.imdb.com/title/tt28452191/,US,7.6, (20K),,,,,[],"[{'name': 'Haylee Herrick', 'url': 'https://www.imdb.com/name/nm7633340/'}]","[{'name': 'Steven Yeun', 'url': 'https://www.imdb.com/name/nm3081796/'}, {'name': 'Sandra Oh', 'url': 'https://www.imdb.com/name/nm0644897/'}, {'name': 'J.K. Simmons', 'url': 'https://www.imdb.com/name/nm0799777/'}, {'name': 'Madison Calderon', 'url': 'https://www.imdb.com/name/nm6199155/'}, {'name': 'Lauren Cohan', 'url': 'https://www.imdb.com/name/nm1659348/'}]"
194. Joy Ride,https://www.imdb.com/title/tt15268244/,US,6.4, (27K),74,,,,[],"[{'name': 'Adele Lim', 'url': 'https://www.imdb.com/name/nm1004604/'}]","[{'name': 'Debbie Fan', 'url': 'https://www.imdb.com/name/nm0266631/'}, {'name': 'Kenneth Liu', 'url': 'https://www.imdb.com/name/nm8153837/'}, {'name': 'Annie Mumolo', 'url': 'https://www.imdb.com/name/nm1754239/'}, {'name': 'David Denman', 'url': 'https://www.imdb.com/name/nm0219292/'}, {'name': 'Belle Zhang', 'url': 'https://www.imdb.com/name/nm15010534/'}]"
195. Apartment 7A,https://www.imdb.com/title/tt14371860/,US,5.9, (16K),49,,n/a,,[],"[{'name': 'Natalie Erika James', 'url': 'https://www.imdb.com/name/nm4013000/'}]","[{'name': 'Julia Garner', 'url': 'https://www.imdb.com/name/nm3400186/'}, {'name': 'Dianne Wiest', 'url': 'https://www.imdb.com/name/nm0001848/'}, {'name': 'Kevin McNally', 'url': 'https://www.imdb.com/name/nm0573618/'}, {'name': 'Jim Sturgess', 'url': 'https://www.imdb.com/name/nm0836343/'}, {'name': 'Marli Siu', 'url': 'https://www.imdb.com/name/nm6069517/'}]"
196. Ferrari,https://www.imdb.com/title/tt3758542/,US,6.4, (62K),73,,,,[],"[{'name': 'Michael Mann', 'url': 'https://www.imdb.com/name/nm0000520/'}]","[{'name': 'Adam Driver', 'url': 'https://www.imdb.com/name/nm3485845/'}, {'name': 'Shailene Woodley', 'url': 'https://www.imdb.com/name/nm0940362/'}, {'name': 'Giuseppe Festinese', 'url': 'https://www.imdb.com/name/nm13120148/'}, {'name': 'Alessandro Cremona', 'url': 'https://www.imdb.com/name/nm0187361/'}, {'name': 'Derek Hill', 'url': 'https://www.imdb.com/name/nm5223738/'}]"
197. Eephus,https://www.imdb.com/title/tt28332337/,US,7.2, (476),83,,"$471,325",,[],"[{'name': 'Carson Lund', 'url': 'https://www.imdb.com/name/nm3985497/'}]","[{'name': 'Frederick Wiseman', 'url': 'https://www.imdb.com/name/nm0936464/'}, {'name': 'Bill Lee', 'url': 'https://www.imdb.com/name/nm0496885/'}, {'name': 'Keith William Richards', 'url': 'https://www.imdb.com/name/nm10430125/'}, {'name': 'Wayne Diamond', 'url': 'https://www.imdb.com/name/nm4716497/'}, {'name': 'Cliff Blake', 'url': 'https://www.imdb.com/name/nm3546443/'}]"
198. Greedy People,https://www.imdb.com/title/tt20201748/,US,6.2, (11K),45,,n/a,"$63,341",[],"[{'name': 'Potsy Ponciroli', 'url': 'https://www.imdb.com/name/nm1403221/'}]","[{'name': 'Himesh Patel', 'url': 'https://www.imdb.com/name/nm2797744/'}, {'name': 'Joseph Gordon-Levitt', 'url': 'https://www.imdb.com/name/nm0330687/'}, {'name': 'Lily James', 'url': 'https://www.imdb.com/name/nm4141252/'}, {'name': 'Uzo Aduba', 'url': 'https://www.imdb.com/name/nm2499064/'}, {'name': 'Tim Blake Nelson', 'url': 'https://www.imdb.com/name/nm0625789/'}]"
199. Mr. Monk's Last Case: A Monk Movie,https://www.imdb.com/title/tt27145269/,US,6.7, (11K),65,,,,[],"[{'name': 'Randy Zisk', 'url': 'https://www.imdb.com/name/nm0957198/'}]","[{'name': 'Tony Shalhoub', 'url': 'https://www.imdb.com/name/nm0001724/'}, {'name': 'Traylor Howard', 'url': 'https://www.imdb.com/name/nm0005025/'}, {'name': 'Jason Gray-Stanford', 'url': 'https://www.imdb.com/name/nm0337020/'}, {'name': 'Melora Hardin', 'url': 'https://www.imdb.com/name/nm0002124/'}, {'name': 'Hector Elizondo', 'url': 'https://www.imdb.com/name/nm0001185/'}]"
200. Blue Beetle,https://www.imdb.com/title/tt9362930/,US,5.9, (108K),61,,,,[],"[{'name': 'Angel Manuel Soto', 'url': 'https://www.imdb.com/name/nm3924049/'}]","[{'name': 'Xolo Maridueña', 'url': 'https://www.imdb.com/name/nm4927704/'}, {'name': 'Bruna Marquezine', 'url': 'https://www.imdb.com/name/nm1367490/'}, {'name': 'Becky G', 'url': 'https://www.imdb.com/name/nm3121384/'}, {'name': 'Damián Alcázar', 'url': 'https://www.imdb.com/name/nm0017343/'}, {'name': 'George Lopez', 'url': 'https://www.imdb.com/name/nm0520064/'}]"
201. Absolution,https://www.imdb.com/title/tt8337290/,US,5.2, (7.8K),51,,"$2,715,727","$4,213,020",[],"[{'name': 'Hans Petter Moland', 'url': 'https://www.imdb.com/name/nm0596407/'}]","[{'name': 'Liam Neeson', 'url': 'https://www.imdb.com/name/nm0000553/'}, {'name': 'Daniel Diemer', 'url': 'https://www.imdb.com/name/nm8159701/'}, {'name': 'Javier Molina', 'url': 'https://www.imdb.com/name/nm1829045/'}, {'name': 'Jimmy Gonzales', 'url': 'https://www.imdb.com/name/nm1281943/'}, {'name': 'Ron Perlman', 'url': 'https://www.imdb.com/name/nm0000579/'}]"
202. Dumb Money,https://www.imdb.com/title/tt13957560/,US,6.9, (56K),66,,,,[],"[{'name': 'Craig Gillespie', 'url': 'https://www.imdb.com/name/nm0318916/'}]","[{'name': 'Paul Dano', 'url': 'https://www.imdb.com/name/nm0200452/'}, {'name': 'Pete Davidson', 'url': 'https://www.imdb.com/name/nm0203457/'}, {'name': ""Vincent D'Onofrio"", 'url': 'https://www.imdb.com/name/nm0000352/'}, {'name': 'America Ferrera', 'url': 'https://www.imdb.com/name/nm1065229/'}, {'name': ""Myha'la"", 'url': 'https://www.imdb.com/name/nm9684601/'}]"
203. Knock at the Cabin,https://www.imdb.com/title/tt15679400/,US,6.1, (133K),63,,,,[],"[{'name': 'M. Night Shyamalan', 'url': 'https://www.imdb.com/name/nm0796117/'}]","[{'name': 'Dave Bautista', 'url': 'https://www.imdb.com/name/nm1176985/'}, {'name': 'Jonathan Groff', 'url': 'https://www.imdb.com/name/nm2676147/'}, {'name': 'Ben Aldridge', 'url': 'https://www.imdb.com/name/nm3198781/'}, {'name': 'Nikki Amuka-Bird', 'url': 'https://www.imdb.com/name/nm0025458/'}, {'name': 'Rupert Grint', 'url': 'https://www.imdb.com/name/nm0342488/'}]"
204. Ordinary Angels,https://www.imdb.com/title/tt4996328/,US,7.4, (16K),57,,"$19,174,421","$20,454,487",[],"[{'name': 'Jon Gunn', 'url': 'https://www.imdb.com/name/nm0348197/'}]","[{'name': 'Hilary Swank', 'url': 'https://www.imdb.com/name/nm0005476/'}, {'name': 'Alan Ritchson', 'url': 'https://www.imdb.com/name/nm2024927/'}, {'name': 'Emily Mitchell', 'url': 'https://www.imdb.com/name/nm12876537/'}, {'name': 'Skywalker Hughes', 'url': 'https://www.imdb.com/name/nm12468359/'}, {'name': 'Nancy Travis', 'url': 'https://www.imdb.com/name/nm0001802/'}]"
205. Azrael,https://www.imdb.com/title/tt22173666/,US,5.4, (11K),52,,"$433,861","$659,719",[],"[{'name': 'E.L. Katz', 'url': 'https://www.imdb.com/name/nm1414810/'}]","[{'name': 'Vic Carmen Sonne', 'url': 'https://www.imdb.com/name/nm3850259/'}, {'name': 'Samara Weaving', 'url': 'https://www.imdb.com/name/nm3034977/'}, {'name': 'Nathan Stewart-Jarrett', 'url': 'https://www.imdb.com/name/nm2805533/'}, {'name': 'Johhan Rosenberg', 'url': 'https://www.imdb.com/name/nm12392302/'}, {'name': 'Eero Milonoff', 'url': 'https://www.imdb.com/name/nm0590480/'}]"
