decade,year,result,director,movie,director url
Década de 2010,2014,Nominee,David O. Russell,La gran estafa americana,https://www.imdb.com/es-es/name/nm0751102/
Década de 2010,2014,Nominee,Alexander Payne,Nebraska,https://www.imdb.com/es-es/name/nm0668247/
Década de 2010,2014,Nominee,Steve McQueen,12 años de esclavitud,https://www.imdb.com/es-es/name/nm2588606/
Década de 2010,2014,Nominee,Martin Scorsese,El lobo de Wall Street,https://www.imdb.com/es-es/name/nm0000217/
Década de 2010,2013,Ganador,Ang Lee,La vida de Pi,https://www.imdb.com/es-es/name/nm0000487/
Década de 2010,2013,Nominee,Michael Haneke,Amor,https://www.imdb.com/es-es/name/nm0359734/
Década de 2010,2013,Nominee,David O. Russell,El lado bueno de las cosas,https://www.imdb.com/es-es/name/nm0751102/
Década de 2010,2013,Nominee,Steven Spielberg,Lincoln,https://www.imdb.com/es-es/name/nm0000229/
Década de 2010,2013,Nominee,Benh Zeitlin,Bestias del sur salvaje,https://www.imdb.com/es-es/name/nm1022455/
Década de 2010,2012,Ganador,Michel Hazanavicius,The Artist,https://www.imdb.com/es-es/name/nm0371890/
Década de 2010,2012,Nominee,Woody Allen,Midnight in Paris,https://www.imdb.com/es-es/name/nm0000095/
Década de 2010,2012,Nominee,Terrence Malick,El árbol de la vida,https://www.imdb.com/es-es/name/nm0000517/
Década de 2010,2012,Nominee,Alexander Payne,Los descendientes,https://www.imdb.com/es-es/name/nm0668247/
Década de 2010,2012,Nominee,Martin Scorsese,La invención de Hugo,https://www.imdb.com/es-es/name/nm0000217/
Década de 2010,2011,Ganador,Tom Hooper,El discurso del rey,https://www.imdb.com/es-es/name/nm0393799/
Década de 2010,2011,Nominee,Darren Aronofsky,Cisne negro,https://www.imdb.com/es-es/name/nm0004716/
Década de 2010,2011,Nominee,Ethan Coen,Valor de ley (True Grit),https://www.imdb.com/es-es/name/nm0001053/
Década de 2010,2011,Nominee,David Fincher,La red social,https://www.imdb.com/es-es/name/nm0000399/
Década de 2010,2011,Nominee,David O. Russell,The Fighter,https://www.imdb.com/es-es/name/nm0751102/
Década de 2010,2010,Ganador,Kathryn Bigelow,En tierra hostil,https://www.imdb.com/es-es/name/nm0000941/
Década de 2010,2010,Nominee,James Cameron,Avatar,https://www.imdb.com/es-es/name/nm0000116/
Década de 2010,2010,Nominee,Quentin Tarantino,Malditos bastardos,https://www.imdb.com/es-es/name/nm0000233/
Década de 2010,2010,Nominee,Lee Daniels,Precious,https://www.imdb.com/es-es/name/nm0200005/
Década de 2010,2010,Nominee,Jason Reitman,Up in the Air (Amor sin escalas),https://www.imdb.com/es-es/name/nm0718646/
Década de 2000,2009,Ganador,Danny Boyle,Slumdog Millionaire,https://www.imdb.com/es-es/name/nm0000965/
Década de 2000,2009,Nominee,David Fincher,El curioso caso de Benjamin Button,https://www.imdb.com/es-es/name/nm0000399/
Década de 2000,2009,Nominee,Ron Howard,El desafío - Frost contra Nixon,https://www.imdb.com/es-es/name/nm0000165/
Década de 2000,2009,Nominee,Gus Van Sant,Mi nombre es Harvey Milk,https://www.imdb.com/es-es/name/nm0001814/
Década de 2000,2009,Nominee,Stephen Daldry,The Reader (El lector),https://www.imdb.com/es-es/name/nm0197636/
Década de 2000,2008,Ganadores,Ethan Coen,No es país para viejos,https://www.imdb.com/es-es/name/nm0001053/
Década de 2000,2008,Nominee,Jason Reitman,Juno,https://www.imdb.com/es-es/name/nm0718646/
Década de 2000,2008,Nominee,Tony Gilroy,Michael Clayton,https://www.imdb.com/es-es/name/nm0006904/
