director_name,director_url,year_result,award_name,category,title
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,Oscar,Best Director,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1991 Nominee,Oscar,"Best Short Film, Live Action",Dear Rosie
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,Best Foreign Film Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2011 Nominee,Banff Rockie Award,Best Sitcom,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Bodil,Best Non-American Film (Bedste ikke amerikanske film),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2012 Nominee,BAFTA TV Award,Best Situation Comedy,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,David Lean Award for Direction,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1991 Nominee,BAFTA Film Award,Best Short Film,Dear Rosie
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2011 Nominee,Broadcasting Press Guild Award,Best Comedy/Entertainment,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Nominee,César,Best Foreign Film (Meilleur film étranger),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1991 Winner,Gold Plaque,Best Short Film,Dear Rosie
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,David,Best Foreign Film (Miglior Film Straniero),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2005 Nominee,Golden Hitchcock,,Sueños mágicos
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Golden Hitchcock,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Audience Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Audience Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Evening Standard British Film Award,Best Film,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Best Foreign Film,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Goya,Best European Film (Mejor Película Europea),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,ALFS Award,British Newcomer of the Year,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,MTV Movie Award,Best New Filmmaker,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Robert,Best Foreign Film (Årets udenlandske spillefilm),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2011 Nominee,RTS Television Award,Best Scripted Comedy,Rev.
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,OCIC Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Cipputi Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1997 Winner,Audience Award,,Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Butaca,Best Art House Film (Millor película d'autor),Full Monty
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,1998 Winner,Shadowline Award,,
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2006 Winner,Just Film Special Mention,Children's Jury,Sueños mágicos
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2014 Winner,Grand Prize Short Film,,
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2012 Winner,Audience Award Short Films,Ages 8-14,
Peter Cattaneo,https://www.imdb.com/name/nm0146341/,2020 Winner,Truly Moving Picture Award,,¡Que suene la música!
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2024 Nominee,Official Fantàstic Competition,Best Motion Picture,La fiebre de los ricos
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2019 Winner,Official Fantàstic Competition,Best Motion Picture,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2019 Winner,Audience Award,Best Feature Film,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2019 Winner,Citizen Kane Award for Best Directorial Revelation,,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2020 Nominee,CEC Award,Best New Director (Mejor Director Revelación),El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2020 Nominee,Goya,Best New Director (Mejor Director Novel),El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2019 Winner,Grolsch People's Choice Award,Midnight Madness,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2020 Nominee,Gaudí Award,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2020 Nominee,Feroz Award,Best Director,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2020 Winner,Fantrobia Award,Honorary Award,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2017 Winner,Festival Prize,Best Film,El ataúd de cristal
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2019 Nominee,Prize of the City of Torino,Best Feature Film,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2011 Winner,Cortogenia Award,Best Director,La casa del lago
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2019 Winner,Festival Prize,Película Joven,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2021 Nominee,MCFCA Award,Best Foreign Language Film,El hoyo
Galder Gaztelu,https://www.imdb.com/name/nm2008067/,2020 Winner,Somos Cine Award,,El hoyo
J.J. Perry,https://www.imdb.com/name/nm0675102/,2023 Nominee,Actor,Outstanding Action Performance by a Stunt Ensemble in a Motion Picture,Avatar: El sentido del agua
J.J. Perry,https://www.imdb.com/name/nm0675102/,2009 Nominee,Actor,Outstanding Performance by a Stunt Ensemble in a Motion Picture,Iron Man
J.J. Perry,https://www.imdb.com/name/nm0675102/,2022 Nominee,Taurus Award,Best Stunt Coordinator and/or 2nd Unit Director,Fast & Furious 9
J.J. Perry,https://www.imdb.com/name/nm0675102/,2018 Nominee,Taurus World Stunt Award,Best Stunt Coordinator and/or 2nd Unit Director,Fast & Furious 8
J.J. Perry,https://www.imdb.com/name/nm0675102/,2013 Nominee,Taurus Award,Best Fight,Safe
J.J. Perry,https://www.imdb.com/name/nm0675102/,2004 Nominee,Taurus Award,Best Specialty Stunt,Tesoro del Amazonas
J.J. Perry,https://www.imdb.com/name/nm0675102/,2004 Winner,Taurus Award,Best Overall Stunt by a Stunt Man,Tesoro del Amazonas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,Silver Ariel,Best Latin-American Film (Mejor Película Iberoamericana),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Nominee,Silver Ariel,Best Latin-American Film (Mejor Película Iberoamericana),Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Nominee,Oscar,Best Director,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,Oscar,"Best Writing, Original Screenplay",Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2017 Nominee,Silver Condor,"Best Foreign Film, Spanish Language (Mejor Película Iberoamericana)",Julieta
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2012 Nominee,Silver Condor,"Best Foreign Film, Spanish Language (Mejor Película Iberoamericana)",La piel que habito
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2010 Nominee,Silver Condor,"Best Foreign Film, Spanish Language (Mejor Película Iberoamericana)",Los abrazos rotos
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Winner,Silver Condor,"Best Foreign Film, Spanish Language (Mejor Película Iberoamericana)",Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2005 Nominee,Silver Condor,"Best Foreign Film, Spanish Language (Mejor Película Extranjera en Habla Hispana)",La mala educación
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1990 Nominee,Golden Berlin Bear,,Átame!
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1987 Winner,Teddy,Best Feature Film,La ley del deseo
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,Bodil,Best Non-American Film (Bedste ikke-amerikanske film),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Nominee,Bodil,Best Non-American Film (Bedste ikke-amerikanske film),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,Bodil,Best Non-American Film (Bedste ikke amerikanske film),Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,Bodil,Best Non-American Film (Bedste ikke amerikanske film),Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1988 Winner,Golden Precolumbian Circle,Best Director,La ley del deseo
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1988 Winner,Golden Precolumbian Circle,Best Screenplay,La ley del deseo
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1988 Nominee,Golden Precolumbian Circle,Best Film,La ley del deseo
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1988 Nominee,Golden Precolumbian Circle,Best Film,Matador
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,BAFTA Film Award,Best Film Not in the English Language,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,BAFTA Film Award,Best Film Not in the English Language,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2017 Nominee,BAFTA Film Award,Best Film not in the English Language,Julieta
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2012 Winner,BAFTA Film Award,Best Film Not in the English Language,La piel que habito
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2010 Nominee,BAFTA Film Award,Best Film Not in the English Language,Los abrazos rotos
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2023 Nominee,Queer Palm - Short Film,,Extraña forma de vida
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Palme d'Or,,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Queer Palm,,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2016 Nominee,Palme d'Or,,Julieta
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2011 Nominee,Palme d'Or,,La piel que habito
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1992 Winner,Golden India Catalina,Best Film (Mejor Película),Tacones lejanos
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,César,Best Foreign Film (Meilleur film étranger),Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,César,Best Foreign Film (Meilleur film étranger),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Nominee,César,Best Foreign Film (Meilleur film étranger),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2005 Nominee,César,Best European Union Film (Meilleur film de l'Union Européenne),La mala educación
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,César,Best European Union Film (Meilleur film de l'Union Européenne),Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,CFCA Award,Best Foreign Language Film,Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,Cinema Brazil Grand Prize,Best Foreign Film (Melhor Filme Estrangeiro),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2012 Nominee,Cinema Brazil Grand Prize,Best Foreign-Language Film (Melhor Filme Estrangeiro),La piel que habito
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2008 Nominee,Cinema Brazil Grand Prize,Best Foreign-Language Film (Melhor Filme Estrangeiro),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,Cinema Brazil Grand Prize,Best Foreign Film (Melhor Filme Estrangeiro),Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,CEC Award,Best Director (Mejor Director),Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,CEC Award,Best Film (Mejor Película),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,CEC Award,Best Director (Mejor Director),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,CEC Award,Best Original Screenplay (Mejor Guión Original),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2017 Nominee,CEC Award,Best Film (Mejor Película),Julieta
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,Czech Lion,Best Foreign Language Film (Nejlepsí zahranicní film),Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2001 Nominee,Czech Lion,Best Foreign Language Film (Nejlepsí zahranicní film),Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2005 Nominee,DFWFCA Award,Best Director,La mala educación
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Nominee,David,Best European Film (Miglior Film dell'Unione Europea),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Nominee,David,Best Foreign Film (Miglior Film Straniero),Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,David,Best Foreign Film (Miglior Film Straniero),Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1989 Winner,David,Best Foreign Director (Migliore Regista Straniero),Mujeres al borde de un ataque de 'nervios'
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1989 Nominee,David,Best Foreign Film (Miglior Film Straniero),Mujeres al borde de un ataque de 'nervios'
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2005 Nominee,DGGB Award,Outstanding Directorial Achievement in Foreign Language Film,La mala educación
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2024 Nominee,European Film Award,European Director,La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2024 Nominee,European Film Award,European Screenwriter,La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2024 Nominee,European Film Award,European Film,La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,European Film Award,European Film,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,European Film Award,European Director,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1987 Winner,International Fantasy Film Award,Best Director,Matador
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1987 Nominee,International Fantasy Film Award,Best Film,Matador
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1986 Winner,International Fantasy Film Special Jury Award,,Matador
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Winner,Fotogramas de Plata,Audience Award - Best Spanish Film,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,Fotogramas de Plata,Audience Award - Best Spanish Film,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,Fotogramas de Plata,Best Spanish Film (Mejor Película Española),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2017 Nominee,Fotogramas de Plata,Audience Award - Best Spanish Film,Julieta
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Winner,Fotogramas de Plata,Best Spanish Film (Mejor Película Española),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Winner,Critics Award,Best Foreign Film,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,Critics Award,Best Foreign Film,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Winner,Jury Award,Best Film,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1999 Winner,People's Choice Award,,Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,Best Foreign Film,,Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2025 Nominee,Satellite Award,"Best Screenplay, Adapted",La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,Satellite Award,"Best Screenplay, Original",Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Satellite Award,Best Director,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Satellite Award,"Best Screenplay, Original",Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Nominee,Satellite Award,Best Director,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2025 Nominee,Goya,Best Director (Mejor Dirección),La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2025 Winner,Goya,Best Adapted Screenplay (Mejor Guión Adaptado),La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,Goya,Best Director (Mejor Dirección),Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,Goya,Best Director (Mejor Director),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,Goya,Best Original Screenplay (Mejor Guión Original),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1992 Winner,Golden Kikito,Best Director (Melhor Direção),Tacones lejanos
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1992 Nominee,Golden Kikito,Best Ibero-American Film (Melhor Filme),Tacones lejanos
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Winner,Guild Film Award - Gold,Foreign Film (Ausländischer Film),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Nominee,Guldbagge,Best Foreign Film (Bästa utländska film),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Winner,Best International Feature Film Oscar Contender,,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Winner,Hollywood World Award,,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Imagen Award,Best Director,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,Independent Spirit Award,Best International Film,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2005 Nominee,Independent Spirit Award,Best Foreign Film,La mala educación
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Nominee,Independent Spirit Award,Best Foreign Film,Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,European Silver Ribbon,,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Winner,Silver Ribbon,Best European Director (Regista del Miglior Film Europeo),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2005 Winner,Silver Ribbon,Best Foreign Director (Regista del Miglior Film Straniero),La mala educación
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2002 Winner,European Silver Ribbon,,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1998 Winner,Silver Ribbon,Best Foreign Director (Regista del Miglior Film Straniero),Carne trémula
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Gabriel Sherover Foundation Award,Best International Film,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1996 Nominee,Crystal Globe,,La flor de mi secreto
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,ALFS Award,Director of the Year,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,ALFS Award,Screenwriter of the Year,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Winner,Dilys Powell Award,,
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Nominee,ALFS Award,Director of the Year,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Nominee,ALFS Award,Director of the Year,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Nominee,LAFCA Award,Best Foreign Film,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2002 Winner,LAFCA Award,Best Director,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2002 Nominee,LAFCA Award,Best Foreign Film,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1999 Winner,LAFCA Award,Best Foreign Film,Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1987 Winner,New Generation Award,,La ley del deseo
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,NSFC Award,Best Screenplay,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Nominee,NSFC Award,Best Director,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1989 Winner,Special Award,,Mujeres al borde de un ataque de 'nervios'
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2002 Nominee,NYFCC Award,Best Director,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,FIPRESCI Prize,Best Foreign Language Film,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,Career Achievement Award,,
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1998 Winner,Audience Award,,Carne trémula
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,Robert,Best Non-English Language Film (Årets ikke-engelsksprogede film),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Nominee,Robert,Best Non-American Film (Årets ikke-amerikanske film),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Nominee,Robert,Best Non-American Film (Årets ikke-amerikanske film),Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,Robert,Best Non-American Film (Årets ikke-amerikanske film),Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Winner,White Elephant,Best Foreign Film,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2002 Winner,Golden Aries,Best Foreign Film,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2022 Nominee,SDFCS Award,Best Original Screenplay,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1987 Winner,Audience Award,Best Feature,La ley del deseo
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2024 Winner,Donostia Lifetime Achievement Award,,
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,FIPRESCI Film of the Year,,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Sebastiane Award,Best Film,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2013 Nominee,Sebastiane Award,Best Film,Los amantes pasajeros
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Winner,FIPRESCI Film of the Year,,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Nominee,Sydney Film Prize,Best Film,Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2009 Winner,Audience Award,Best Foreign Feature Film,Los abrazos rotos
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1998 Nominee,Audience Award,Best Feature,Carne trémula
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2023 Winner,Jeff Skoll Award in Impact Media,,
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1988 Winner,People's Choice Award,,Mujeres al borde de un ataque de 'nervios'
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1984 Winner,Silver Palm,,¿Qué he hecho YO para merecer esto!!
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1984 Winner,FIPRESCI Prize,,¿Qué he hecho YO para merecer esto!!
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2024 Winner,Golden Lion,Best Film,La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2024 Winner,Brian Award,,La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2021 Nominee,Golden Lion,Best Film,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2021 Nominee,Queer Lion Award,,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2019 Winner,Career Golden Lion,,
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Winner,Audience Award,,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Winner,Special Jury Award,,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,1997 Winner,Cinemania Award,,
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2006 Winner,Prince of Asturias Award,Arts,
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2000 Winner,Lumiere Award,Best Foreign Film (Meilleur film étranger),Todo sobre mi madre
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2023 Nominee,Eagle,Best European Film (Najlepszy Film Europejski),Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,Eagle,Best European Film (Najlepszy Film Europejski),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Winner,Eagle,Best European Film (Najlepszy Film Europejski),Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2005 Nominee,Eagle,Best European Film (Najlepszy Film Europejski),La mala educación
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,Golden Kinnaree Award,Best Film,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,Golden Kinnaree Award,Best Director,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2016 Winner,Festival Award,Best International Film,Julieta
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2025 Nominee,Rosa de Sant Jordi Audience Award,Best Spanish Film (Millor pel·lícula espanyola),La habitación de al lado
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Nominee,Sant Jordi,Best Spanish Film (Millor pel·lícula espanyola),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2020 Winner,Rosa de Sant Jordi Audience Award,Best Spanish Film (Millor pel·lícula espanyola),Dolor y gloria
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2017 Winner,Rosa de Sant Jordi Audience Award,Best Spanish Film (Millor pel·lícula espanyola),Julieta
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2012 Winner,Rosa de Sant Jordi Audience Award,Best Spanish Film (Mejor Película Española),La piel que habito
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Winner,Audience Award,Best Film,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2023 Winner,Kinema Junpo Award,Best Foreign Language Film Director,Madres paralelas
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2007 Nominee,Chlotrudis Award,Best Director,Volver
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2003 Nominee,Chlotrudis Award,Best Director,Hable con ella
Pedro Almodóvar,https://www.imdb.com/name/nm0000264/,2001 Winner,Chloe Award,,
