decade,year,result,director,movie,director url
Década de 2010,2014,Ganador,Alfonso Cuarón,Gravity,https://www.imdb.com/es-es/name/nm0190859/
Década de 2010,2014,Nominee,Steve McQueen,12 años de esclavitud,https://www.imdb.com/es-es/name/nm2588606/
Década de 2010,2014,Nominee,David O. Russell,La gran estafa americana,https://www.imdb.com/es-es/name/nm0751102/
Década de 2010,2014,Nominee,Paul Greengrass,Capitán Phillips,https://www.imdb.com/es-es/name/nm0339030/
Década de 2010,2014,Nominee,Alexander Payne,Nebraska,https://www.imdb.com/es-es/name/nm0668247/
Década de 2010,2013,Ganador,Ben Affleck,Argo,https://www.imdb.com/es-es/name/nm0000255/
Década de 2010,2013,Nominee,Kathryn Bigelow,La noche más oscura (Zero Dark Thirty),https://www.imdb.com/es-es/name/nm0000941/
Década de 2010,2013,Nominee,Ang Lee,La vida de Pi,https://www.imdb.com/es-es/name/nm0000487/
Década de 2010,2013,Nominee,Steven Spielberg,Lincoln,https://www.imdb.com/es-es/name/nm0000229/
Década de 2010,2013,Nominee,Quentin Tarantino,Django desencadenado,https://www.imdb.com/es-es/name/nm0000233/
Década de 2010,2012,Ganador,Martin Scorsese,La invención de Hugo,https://www.imdb.com/es-es/name/nm0000217/
Década de 2010,2012,Nominee,Woody Allen,Midnight in Paris,https://www.imdb.com/es-es/name/nm0000095/
Década de 2010,2012,Nominee,George Clooney,Los idus de marzo,https://www.imdb.com/es-es/name/nm0000123/
Década de 2010,2012,Nominee,Michel Hazanavicius,The Artist,https://www.imdb.com/es-es/name/nm0371890/
Década de 2010,2012,Nominee,Alexander Payne,Los descendientes,https://www.imdb.com/es-es/name/nm0668247/
Década de 2010,2011,Ganador,David Fincher,La red social,https://www.imdb.com/es-es/name/nm0000399/
Década de 2010,2011,Nominee,Darren Aronofsky,Cisne negro,https://www.imdb.com/es-es/name/nm0004716/
Década de 2010,2011,Nominee,Tom Hooper,El discurso del rey,https://www.imdb.com/es-es/name/nm0393799/
Década de 2010,2011,Nominee,Christopher Nolan,Origen,https://www.imdb.com/es-es/name/nm0634240/
Década de 2010,2011,Nominee,David O. Russell,The Fighter,https://www.imdb.com/es-es/name/nm0751102/
Década de 2010,2010,Ganador,James Cameron,Avatar,https://www.imdb.com/es-es/name/nm0000116/
Década de 2010,2010,Nominee,Quentin Tarantino,Malditos bastardos,https://www.imdb.com/es-es/name/nm0000233/
Década de 2010,2010,Nominee,Clint Eastwood,Invictus,https://www.imdb.com/es-es/name/nm0000142/
Década de 2010,2010,Nominee,Kathryn Bigelow,En tierra hostil,https://www.imdb.com/es-es/name/nm0000941/
Década de 2010,2010,Nominee,Jason Reitman,Up in the Air (Amor sin escalas),https://www.imdb.com/es-es/name/nm0718646/
Década de 2000,2009,Ganador,Danny Boyle,Slumdog Millionaire,https://www.imdb.com/es-es/name/nm0000965/
Década de 2000,2009,Nominee,David Fincher,El curioso caso de Benjamin Button,https://www.imdb.com/es-es/name/nm0000399/
Década de 2000,2009,Nominee,Ron Howard,El desafío - Frost contra Nixon,https://www.imdb.com/es-es/name/nm0000165/
Década de 2000,2009,Nominee,Stephen Daldry,The Reader (El lector),https://www.imdb.com/es-es/name/nm0197636/
Década de 2000,2009,Nominee,Sam Mendes,Revolutionary Road,https://www.imdb.com/es-es/name/nm0005222/
Década de 2000,2008,Ganador,Julian Schnabel,La escafandra y la mariposa,https://www.imdb.com/es-es/name/nm0773603/
Década de 2000,2008,Nominee,Ridley Scott,American Gangster,https://www.imdb.com/es-es/name/nm0000631/
Década de 2000,2008,Nominee,Joe Wright,Expiación. Más allá de la pasión,https://www.imdb.com/es-es/name/nm0942504/
Década de 2000,2008,Nominee,Ethan Coen,No es país para viejos,https://www.imdb.com/es-es/name/nm0001053/
Década de 2000,2008,Nominee,Tim Burton,Sweeney Todd: El barbero diabólico de la calle Fleet,https://www.imdb.com/es-es/name/nm0000318/
Década de 2000,2007,Ganador,Martin Scorsese,Infiltrados,https://www.imdb.com/es-es/name/nm0000217/
Década de 2000,2007,Nominee,Alejandro G. Iñárritu,Babel,https://www.imdb.com/es-es/name/nm0327944/
Década de 2000,2007,Nominee,Clint Eastwood,Banderas de nuestros padres,https://www.imdb.com/es-es/name/nm0000142/
Década de 2000,2007,Nominee,Clint Eastwood,Cartas desde Iwo Jima,https://www.imdb.com/es-es/name/nm0000142/
Década de 2000,2007,Nominee,Stephen Frears,The Queen (La reina),https://www.imdb.com/es-es/name/nm0001241/
Década de 2000,2006,Ganador,Ang Lee,Brokeback Mountain. En terreno vedado,https://www.imdb.com/es-es/name/nm0000487/
Década de 2000,2006,Nominee,Fernando Meirelles,El jardinero fiel,https://www.imdb.com/es-es/name/nm0576987/
Década de 2000,2006,Nominee,George Clooney,"Buenas noches, y buena suerte.",https://www.imdb.com/es-es/name/nm0000123/
Década de 2000,2006,Nominee,Peter Jackson,King Kong,https://www.imdb.com/es-es/name/nm0001392/
Década de 2000,2006,Nominee,Woody Allen,Match Point,https://www.imdb.com/es-es/name/nm0000095/
Década de 2000,2006,Nominee,Steven Spielberg,Múnich,https://www.imdb.com/es-es/name/nm0000229/
Década de 2000,2005,Ganador,Clint Eastwood,Million Dollar Baby,https://www.imdb.com/es-es/name/nm0000142/
Década de 2000,2005,Nominee,Martin Scorsese,El aviador,https://www.imdb.com/es-es/name/nm0000217/
Década de 2000,2005,Nominee,Mike Nichols,Closer,https://www.imdb.com/es-es/name/nm0001566/
Década de 2000,2005,Nominee,Marc Forster,Descubriendo Nunca Jamás,https://www.imdb.com/es-es/name/nm0286975/
Década de 2000,2005,Nominee,Alexander Payne,Entre copas,https://www.imdb.com/es-es/name/nm0668247/
Década de 2000,2004,Ganador,Peter Jackson,El señor de los anillos: El retorno del rey,https://www.imdb.com/es-es/name/nm0001392/
Década de 2000,2004,Nominee,Anthony Minghella,Cold Mountain,https://www.imdb.com/es-es/name/nm0005237/
Década de 2000,2004,Nominee,Sofia Coppola,Lost in Translation,https://www.imdb.com/es-es/name/nm0001068/
Década de 2000,2004,Nominee,Peter Weir,Master and Commander: Al otro lado del mundo,https://www.imdb.com/es-es/name/nm0001837/
Década de 2000,2004,Nominee,Clint Eastwood,Mystic River,https://www.imdb.com/es-es/name/nm0000142/
Década de 2000,2003,Ganador,Martin Scorsese,Gangs of New York,https://www.imdb.com/es-es/name/nm0000217/
Década de 2000,2003,Nominee,Alexander Payne,A propósito de Schmidt,https://www.imdb.com/es-es/name/nm0668247/
Década de 2000,2003,Nominee,Spike Jonze,Adaptation (El ladrón de orquídeas),https://www.imdb.com/es-es/name/nm0005069/
Década de 2000,2003,Nominee,Rob Marshall,Chicago,https://www.imdb.com/es-es/name/nm0551128/
Década de 2000,2003,Nominee,Stephen Daldry,Las horas,https://www.imdb.com/es-es/name/nm0197636/
Década de 2000,2003,Nominee,Peter Jackson,El señor de los anillos: Las dos torres,https://www.imdb.com/es-es/name/nm0001392/
Década de 2000,2002,Ganador,Robert Altman,Gosford Park,https://www.imdb.com/es-es/name/nm0000265/
Década de 2000,2002,Nominee,Steven Spielberg,A. I. Inteligencia artificial,https://www.imdb.com/es-es/name/nm0000229/
Década de 2000,2002,Nominee,Ron Howard,Una mente maravillosa,https://www.imdb.com/es-es/name/nm0000165/
Década de 2000,2002,Nominee,Peter Jackson,El señor de los anillos: La comunidad del anillo,https://www.imdb.com/es-es/name/nm0001392/
Década de 2000,2002,Nominee,Baz Luhrmann,Moulin Rouge,https://www.imdb.com/es-es/name/nm0525303/
Década de 2000,2002,Nominee,David Lynch,Mulholland Drive,https://www.imdb.com/es-es/name/nm0000186/
Década de 2000,2001,Ganador,Ang Lee,Tigre y dragón,https://www.imdb.com/es-es/name/nm0000487/
